,Factor,Nodo,Valor,Fecha
0,FS,10Y,7.050138889,20180903
1,FS,15Y,5.12725,20180903
2,FS,18MO,5.309160305,20180903
3,FS,1MO,4.578029293,20180903
4,FS,1Y,4.992489718,20180903
5,FS,2M,4.624327044,20180903
6,FS,2Y,5.632963115,20180903
7,FS,3MO,4.614607189,20180903
8,FS,3Y,6.080517241,20180903
9,FS,4MO,4.669562181,20180903
10,FS,4Y,6.335112069,20180903
11,FS,5Y,6.570741935,20180903
12,FS,6MO,4.787936832,20180903
13,FS,9MO,4.812926606,20180903
14,IB1,18MO,0.824158333,20180903
15,IB1,1MO,0.072574286,20180903
16,IB1,1Y,0.773455488,20180903
17,IB1,2M,0.366092,20180903
18,IB1,2Y,0.948580303,20180903
19,IB1,3MO,0.486294203,20180903
20,IB1,3Y,1.135445455,20180903
21,IB1,4MO,0.453702564,20180903
22,IB1,6MO,0.554508654,20180903
23,IB1,9MO,0.699229333,20180903
24,IPC,10Y,3.246970984,20180903
25,IPC,15Y,3.845678182,20180903
26,IPC,18MO,2.042841667,20180903
27,IPC,1MO,1.341764,20180903
28,IPC,1Y,1.761241748,20180903
29,IPC,20Y,4.07831875,20180903
30,IPC,25Y,4.063755556,20180903
31,IPC,2M,1.430076563,20180903
32,IPC,2Y,2.196740571,20180903
33,IPC,3MO,1.505886364,20180903
34,IPC,3Y,2.327586813,20180903
35,IPC,4MO,1.594544444,20180903
36,IPC,4Y,2.506444242,20180903
37,IPC,5Y,2.74092931,20180903
38,IPC,6MO,1.677013793,20180903
39,IPC,9MO,1.808669231,20180903
40,FS,10Y,7.024229167,20180904
41,FS,15Y,5.1205,20180904
42,FS,18MO,5.255984772,20180904
43,FS,1MO,4.565689792,20180904
44,FS,1Y,4.981984018,20180904
45,FS,2M,4.565731915,20180904
46,FS,2Y,5.627729508,20180904
47,FS,3MO,4.592618273,20180904
48,FS,3Y,6.054236453,20180904
49,FS,4MO,4.607825342,20180904
50,FS,4Y,6.358111111,20180904
51,FS,5Y,6.539721311,20180904
52,FS,6MO,4.732699106,20180904
53,FS,9MO,4.772733138,20180904
54,IB1,18MO,0.818085892,20180904
55,IB1,1MO,0.085559048,20180904
56,IB1,1Y,0.763047166,20180904
57,IB1,2M,0.359638961,20180904
58,IB1,2Y,0.938586232,20180904
59,IB1,3MO,0.487128358,20180904
60,IB1,3Y,1.124668182,20180904
61,IB1,4MO,0.418638462,20180904
62,IB1,6MO,0.512154976,20180904
63,IB1,9MO,0.693641558,20180904
64,IPC,10Y,3.255778756,20180904
65,IPC,15Y,3.846903636,20180904
66,IPC,18MO,1.954736496,20180904
67,IPC,1MO,1.299326923,20180904
68,IPC,1Y,1.745223548,20180904
69,IPC,20Y,4.067375,20180904
70,IPC,25Y,4.028888889,20180904
71,IPC,2M,1.367441538,20180904
72,IPC,2Y,2.204288764,20180904
73,IPC,3MO,1.480216279,20180904
74,IPC,3Y,2.302072826,20180904
75,IPC,4MO,1.579121429,20180904
76,IPC,4Y,2.607326829,20180904
77,IPC,5Y,2.721608621,20180904
78,IPC,6MO,1.672965035,20180904
79,IPC,9MO,1.804748276,20180904
80,FS,10Y,6.993006944,20180905
81,FS,15Y,5.10675,20180905
82,FS,18MO,5.2327733,20180905
83,FS,1MO,4.584058706,20180905
84,FS,1Y,5.005175038,20180905
85,FS,2M,4.579600656,20180905
86,FS,2Y,5.634615702,20180905
87,FS,3MO,4.594729089,20180905
88,FS,3Y,6.054960784,20180905
89,FS,4MO,4.639294218,20180905
90,FS,4Y,6.388474138,20180905
91,FS,5Y,6.573016667,20180905
92,FS,6MO,4.76661002,20180905
93,FS,9MO,4.797804217,20180905
94,IB1,18MO,0.842404858,20180905
95,IB1,1MO,0.208916495,20180905
96,IB1,1Y,0.756234898,20180905
97,IB1,2M,0.373816667,20180905
98,IB1,2Y,0.968509701,20180905
99,IB1,3MO,0.462598485,20180905
100,IB1,3Y,1.131104545,20180905
101,IB1,4MO,0.407362025,20180905
102,IB1,6MO,0.496416822,20180905
103,IB1,9MO,0.683317073,20180905
104,IPC,10Y,3.244378756,20180905
105,IPC,15Y,3.836709091,20180905
106,IPC,18MO,1.955763669,20180905
107,IPC,1MO,1.290446154,20180905
108,IPC,1Y,1.724340645,20180905
109,IPC,20Y,4.052375,20180905
110,IPC,25Y,3.99795,20180905
111,IPC,2M,1.342095313,20180905
112,IPC,2Y,2.193883908,20180905
113,IPC,3MO,1.457602174,20180905
114,IPC,3Y,2.31188172,20180905
115,IPC,4MO,1.550795833,20180905
116,IPC,4Y,2.59549939,20180905
117,IPC,5Y,2.709236842,20180905
118,IPC,6MO,1.641052055,20180905
119,IPC,9MO,1.776971429,20180905
120,FS,10Y,7.021451389,20180906
121,FS,15Y,5.0895,20180906
122,FS,18MO,5.228881013,20180906
123,FS,1MO,4.560846231,20180906
124,FS,1Y,5.023427816,20180906
125,FS,2M,4.617740864,20180906
126,FS,2Y,5.645572016,20180906
127,FS,3MO,4.615107784,20180906
128,FS,3Y,6.049334975,20180906
129,FS,4MO,4.644709059,20180906
130,FS,4Y,6.449393162,20180906
131,FS,5Y,6.566186441,20180906
132,FS,6MO,4.768632653,20180906
133,FS,9MO,4.822555556,20180906
134,IB1,18MO,0.836208032,20180906
135,IB1,1MO,0.255161798,20180906
136,IB1,1Y,0.725357927,20180906
137,IB1,2M,0.386268831,20180906
138,IB1,2Y,0.935816176,20180906
139,IB1,3MO,0.462371233,20180906
140,IB1,3Y,1.055086364,20180906
141,IB1,4MO,0.414325333,20180906
142,IB1,6MO,0.502307547,20180906
143,IB1,9MO,0.638028571,20180906
144,IPC,10Y,3.23810829,20180906
145,IPC,15Y,3.836423636,20180906
146,IPC,18MO,1.955225899,20180906
147,IPC,1MO,1.291217241,20180906
148,IPC,1Y,1.721508917,20180906
149,IPC,20Y,4.05584375,20180906
150,IPC,25Y,4.010327778,20180906
151,IPC,2M,1.342872581,20180906
152,IPC,2Y,2.193541279,20180906
153,IPC,3MO,1.459202083,20180906
154,IPC,3Y,2.308316129,20180906
155,IPC,4MO,1.554530435,20180906
156,IPC,4Y,2.590909697,20180906
157,IPC,5Y,2.722466071,20180906
158,IPC,6MO,1.638866667,20180906
159,IPC,9MO,1.787596552,20180906
160,FS,10Y,7.071104167,20180907
161,FS,15Y,5.09425,20180907
162,FS,18MO,5.183352792,20180907
163,FS,1MO,4.533106029,20180907
164,FS,1Y,5.0001727,20180907
165,FS,2M,4.62427381,20180907
166,FS,2Y,5.685662551,20180907
167,FS,3MO,4.552078385,20180907
168,FS,3Y,6.165490099,20180907
169,FS,4MO,4.633453737,20180907
170,FS,4Y,6.448644068,20180907
171,FS,5Y,6.62912069,20180907
172,FS,6MO,4.777250969,20180907
173,FS,9MO,4.834182635,20180907
174,IB1,18MO,0.881114741,20180907
175,IB1,1MO,0.251291765,20180907
176,IB1,1Y,0.74815336,20180907
177,IB1,2M,0.435684,20180907
178,IB1,2Y,0.995894161,20180907
179,IB1,3MO,0.454942466,20180907
180,IB1,3Y,1.091808696,20180907
181,IB1,4MO,0.407407792,20180907
182,IB1,6MO,0.509107009,20180907
183,IB1,9MO,0.632607229,20180907
184,IPC,10Y,3.290460622,20180907
185,IPC,15Y,3.895847273,20180907
186,IPC,18MO,1.966282796,20180907
187,IPC,1MO,1.289373333,20180907
188,IPC,1Y,1.721173016,20180907
189,IPC,20Y,4.12665625,20180907
190,IPC,25Y,4.08685,20180907
191,IPC,2M,1.347516129,20180907
192,IPC,2Y,2.124032558,20180907
193,IPC,3MO,1.463667347,20180907
194,IPC,3Y,2.329665217,20180907
195,IPC,4MO,1.560895652,20180907
